"SITE_ID","SITE_NAME","DEPTH","BATHYMETRY_AREA"
"US-Men","Mendota",0,39400000
"US-Men","Mendota",1,36287400
"US-Men","Mendota",2,34278000
"US-Men","Mendota",3,32347400
"US-Men","Mendota",4,30535000
"US-Men","Mendota",5,28919600
"US-Men","Mendota",6,28013400
"US-Men","Mendota",7,27225400
"US-Men","Mendota",8,26201000
"US-Men","Mendota",9,25176600
"US-Men","Mendota",10,24194600
"US-Men","Mendota",11,22891400
"US-Men","Mendota",12,21276000
"US-Men","Mendota",13,20054600
"US-Men","Mendota",14,18557400
"US-Men","Mendota",15,17730000
"US-Men","Mendota",16,16508600
"US-Men","Mendota",17,15326600
"US-Men","Mendota",18,13790000
"US-Men","Mendota",19,11386600
"US-Men","Mendota",20,8668000
"US-Men","Mendota",21,5949400
"US-Men","Mendota",22,3546000
"US-Men","Mendota",23,1615400
"US-Men","Mendota",24,118200
"US-Men","Mendota",25,0
