!datetime	Flow_metersCubedPerSecond	Water_Temperature_celsius	Salinity_practicalSalinityUnits
2010-01-01 00:00:00	0.37214121	1.5995833	0
2010-01-02 00:00:00	0.3432276	0.95229167	0
2010-01-03 00:00:00	0.32196498	0.81666667	0
2010-01-04 00:00:00	0.30351517	0.51	0
2010-01-05 00:00:00	0.70075011	1.48625	0
2010-01-06 00:00:00	0.41825124	1.305	0
2010-01-07 00:00:00	0.32959549	1.204375	0
2010-01-08 00:00:00	0.3996705	1.4972917	0
2010-01-09 00:00:00	0.29875493	0.25	0
2010-01-10 00:00:00	0.26724275	0.45666667	0
2010-01-11 00:00:00	0.30498495	1.8054167	0
2010-01-12 00:00:00	0.64683639	1.673125	0
2010-01-13 00:00:00	0.69325966	2.269375	0
2010-01-14 00:00:00	0.76192694	2.613125	0
2010-01-15 00:00:00	3.696259	4.068125	0
2010-01-16 00:00:00	1.4819719	4.871875	0
2010-01-17 00:00:00	1.3061096	4.845	0
2010-01-18 00:00:00	0.6872343	6.071875	0
2010-01-19 00:00:00	0.50558593	5.1652083	0
2010-01-20 00:00:00	0.71839271	4.7845833	0
2010-01-21 00:00:00	2.6779487	5.5008333	0
2010-01-22 00:00:00	1.008256	5.528125	0
2010-01-23 00:00:00	0.45285447	3.52375	0
2010-01-24 00:00:00	0.35354837	2.9929167	0
2010-01-25 00:00:00	0.34749632	4.2047917	0
2010-01-26 00:00:00	0.30509116	3.896875	0
2010-01-27 00:00:00	0.79587377	5.9864583	0
2010-01-28 00:00:00	1.333524	6.2179167	0
2010-01-29 00:00:00	2.4489945	5.9852083	0
2010-01-30 00:00:00	0.52078489	4.3541667	0
2010-01-31 00:00:00	0.44490999	3.4083333	0
2010-02-01 00:00:00	0.46321596	3.7558333	0
2010-02-02 00:00:00	0.66114664	5.9589583	0
2010-02-03 00:00:00	1.3923288	5.6285417	0
2010-02-04 00:00:00	0.63408329	5.5008333	0
2010-02-05 00:00:00	0.54361292	5.5929167	0
2010-02-06 00:00:00	0.3705714	4.5683333	0
2010-02-07 00:00:00	0.31943763	4.8358333	0
2010-02-08 00:00:00	0.28819967	4.5102128	0
2010-02-09 00:00:00	0.26427028	3.6110417	0
2010-02-10 00:00:00	0.24775655	2.3472917	0
2010-02-11 00:00:00	0.23622713	1.5885417	0
2010-02-12 00:00:00	0.23033635	2.40875	0
2010-02-13 00:00:00	0.22527053	2.318125	0
2010-02-14 00:00:00	0.23229838	2.6397917	0
2010-02-15 00:00:00	0.47423079	4.1929167	0
2010-02-16 00:00:00	0.9831904	3.748125	0
2010-02-17 00:00:00	0.64571957	4.051875	0
2010-02-18 00:00:00	0.38331511	3.0610417	0
2010-02-19 00:00:00	0.41075551	3.1389583	0
2010-02-20 00:00:00	0.37885997	2.47625	0
2010-02-21 00:00:00	0.35089172	3.00875	0
2010-02-22 00:00:00	0.31384483	2.819375	0
2010-02-23 00:00:00	0.27534351	2.6304167	0
2010-02-24 00:00:00	0.26616849	3.243125	0
2010-02-25 00:00:00	0.31395306	3.4333333	0
2010-02-26 00:00:00	0.92655221	4.2204167	0
2010-02-27 00:00:00	0.88448919	4.454375	0
2010-02-28 00:00:00	1.1551068	4.0877083	0
2010-03-01 00:00:00	0.48046222	3.655	0
2010-03-02 00:00:00	0.34077181	3.6710417	0
2010-03-03 00:00:00	0.54124965	4.5497917	0
2010-03-04 00:00:00	0.46093545	4.4166667	0
2010-03-05 00:00:00	0.32891577	3.9025	0
2010-03-06 00:00:00	0.29373146	4.6154167	0
2010-03-07 00:00:00	0.27453374	5.076875	0
2010-03-08 00:00:00	0.24947102	3.674375	0
2010-03-09 00:00:00	0.23256586	3.2879167	0
2010-03-10 00:00:00	0.22377502	3.4883333	0
2010-03-11 00:00:00	0.21811023	3.7079167	0
2010-03-12 00:00:00	0.23100593	6.1222917	0
2010-03-13 00:00:00	0.23462504	6.5991667	0
2010-03-14 00:00:00	0.22270097	6.636875	0
2010-03-15 00:00:00	0.21806422	7.236875	0
2010-03-16 00:00:00	0.2121349	7.101875	0
2010-03-17 00:00:00	0.21891921	9.061875	0
2010-03-18 00:00:00	0.29987202	9.1210417	0
2010-03-19 00:00:00	0.40274628	7.9527083	0
2010-03-20 00:00:00	0.25642279	7.99625	0
2010-03-21 00:00:00	0.2481882	8.4602083	0
2010-03-22 00:00:00	0.83533048	7.4777083	0
2010-03-23 00:00:00	0.53563073	6.8379167	0
2010-03-24 00:00:00	1.0604144	7.72625	0
2010-03-25 00:00:00	0.39422979	7.294375	0
2010-03-26 00:00:00	0.5197053	8.314375	0
2010-03-27 00:00:00	0.36208927	8.4579167	0
2010-03-28 00:00:00	0.28417712	8.1695833	0
2010-03-29 00:00:00	0.85961179	5.90625	0
2010-03-30 00:00:00	2.2243684	5.1089583	0
2010-03-31 00:00:00	0.87807552	4.84	0
2010-04-01 00:00:00	0.77611744	5.92375	0
2010-04-02 00:00:00	0.60571235	5.8970833	0
2010-04-03 00:00:00	1.2235024	6.499375	0
2010-04-04 00:00:00	1.2853379	5.9529167	0
2010-04-05 00:00:00	5.54582	7.8460417	0
2010-04-06 00:00:00	1.2048596	7.7310417	0
2010-04-07 00:00:00	0.42612769	8.0827083	0
2010-04-08 00:00:00	0.27949434	8.8860417	0
2010-04-09 00:00:00	0.23001155	9.705625	0
2010-04-10 00:00:00	0.20091244	10.227917	0
2010-04-11 00:00:00	0.18402352	10.730417	0
2010-04-12 00:00:00	0.19080906	11.443958	0
2010-04-13 00:00:00	0.19443945	12.421667	0
2010-04-14 00:00:00	0.18852622	11.6875	0
2010-04-15 00:00:00	0.18382406	11.075208	0
2010-04-16 00:00:00	0.17997359	11.231042	0
2010-04-17 00:00:00	0.17701516	11.0075	0
2010-04-18 00:00:00	0.17784467	10.845625	0
2010-04-19 00:00:00	0.17492779	10.606875	0
2010-04-20 00:00:00	0.17291526	9.6283333	0
2010-04-21 00:00:00	0.17036929	9.648125	0
2010-04-22 00:00:00	0.16997479	10.674375	0
2010-04-23 00:00:00	0.1693686	10.520208	0
2010-04-24 00:00:00	0.17178167	10.613125	0
2010-04-25 00:00:00	0.18603981	11.801667	0
2010-04-26 00:00:00	0.18216461	13.191042	0
2010-04-27 00:00:00	0.18713513	12.159792	0
2010-04-28 00:00:00	0.7642233	11.353125	0
2010-04-29 00:00:00	0.42337514	11.406458	0
2010-04-30 00:00:00	0.41347241	11.417708	0
