!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-01-01 00:00:00	2.720439	0	102196.05	-4.1522278	65.230865	0.65116974	33.615475	0
1979-01-02 00:00:00	3.5687692	0	102385.82	-0.27069702	66.770729	0.71727655	30.953154	0
1979-01-03 00:00:00	6.63169	0	100763.43	2.9508301	78.093124	1	14.454854	1.2505772e-07
1979-01-04 00:00:00	4.3812633	0	100868.03	0.84273682	75.784813	0.94254767	19.937738	1.8877765e-08
1979-01-05 00:00:00	3.4959028	0	102283.02	-0.48062744	77.45079	0.92453507	21.274359	1.2849941e-08
1979-01-06 00:00:00	5.4756942	0	101938.61	6.3593384	89.91674	1	9.4877424	1.0543611e-07
1979-01-07 00:00:00	4.9312649	0	101940.22	6.0664612	86.379211	0.93312524	20.768826	5.3752839e-08
1979-01-08 00:00:00	4.9834738	0	101641.75	2.8106323	84.332817	0.89059429	23.804518	4.7187132e-08
1979-01-09 00:00:00	5.8111439	0	100724.15	1.8937317	79.810837	0.81747136	28.337561	2.9792439e-07
1979-01-10 00:00:00	8.04422	0	98840.953	1.8358704	80.83548	0.89199426	24.537233	1.2964656e-07
1979-01-11 00:00:00	5.6674252	0	99729.117	2.3907715	75.986176	0.74645523	32.938942	1.9922332e-08
1979-01-12 00:00:00	2.5232008	0	100849	1.6517578	69.284958	0.71066373	35.430744	0
1979-01-13 00:00:00	4.3691883	0	101552.53	0.12679443	82.630859	0.93611834	23.011988	1.2127183e-07
1979-01-14 00:00:00	5.4475045	0	101397.52	7.6468445	93.777901	1	13.635862	1.0860503e-07
1979-01-15 00:00:00	5.2904572	0	102079.61	7.6481567	89.48027	1	16.607992	1.561009e-08
1979-01-16 00:00:00	3.7217107	0	102636.45	5.196344	87.62384	0.95491861	22.469837	6.8699133e-08
1979-01-17 00:00:00	3.9206474	0	102806.35	0.44109497	75.405937	0.68482895	39.87822	0
1979-01-18 00:00:00	7.4844308	0	101827.8	1.6123901	77.431015	1	19.856506	0
1979-01-19 00:00:00	7.1132183	0	100828	0.41161499	71.653091	0.85569238	31.215649	3.8705871e-09
1979-01-20 00:00:00	2.9792352	0	100207.29	1.5006653	90.523903	1	19.50297	1.5251414e-07
1979-01-21 00:00:00	4.7768965	0	101467.39	3.3461853	83.659004	0.79702283	35.760689	0
1979-01-22 00:00:00	5.3022079	0	101601.3	1.4254395	86.053879	1	13.726991	4.066154e-08
1979-01-23 00:00:00	3.1952417	0	101603.98	1.3718506	83.735741	0.78115533	38.388462	1.0049395e-08
1979-01-24 00:00:00	3.584038	0	101198.05	2.4361206	81.342453	0.85300833	34.10878	3.2424159e-08
1979-01-25 00:00:00	4.5379682	0	99738.797	1.8019653	82.631531	0.73708349	42.722031	7.5581202e-09
1979-01-26 00:00:00	4.1369038	0	99674.398	1.0956665	83.121902	0.83368116	36.975498	2.716669e-08
1979-01-27 00:00:00	3.6634343	0	99747.664	0.2317749	78.142776	0.68132957	48.234921	4.9624468e-08
