!datetime	Flow_metersCubedPerSecond
2010-01-01 00:00:00	-0.93035304
2010-01-02 00:00:00	-0.85806899
2010-01-03 00:00:00	-0.80491244
2010-01-04 00:00:00	-0.75878792
2010-01-05 00:00:00	-1.7518753
2010-01-06 00:00:00	-1.0456281
2010-01-07 00:00:00	-0.82398874
2010-01-08 00:00:00	-0.99917625
2010-01-09 00:00:00	-0.74688733
2010-01-10 00:00:00	-0.66810686
2010-01-11 00:00:00	-0.76246236
2010-01-12 00:00:00	-1.617091
2010-01-13 00:00:00	-1.7331491
2010-01-14 00:00:00	-1.9048174
2010-01-15 00:00:00	-9.2406475
2010-01-16 00:00:00	-3.7049298
2010-01-17 00:00:00	-3.2652739
2010-01-18 00:00:00	-1.7180858
2010-01-19 00:00:00	-1.2639648
2010-01-20 00:00:00	-1.7959818
2010-01-21 00:00:00	-6.6948718
2010-01-22 00:00:00	-2.52064
2010-01-23 00:00:00	-1.1321362
2010-01-24 00:00:00	-0.88387093
2010-01-25 00:00:00	-0.86874079
2010-01-26 00:00:00	-0.7627279
2010-01-27 00:00:00	-1.9896844
2010-01-28 00:00:00	-3.33381
2010-01-29 00:00:00	-6.1224862
2010-01-30 00:00:00	-1.3019622
2010-01-31 00:00:00	-1.112275
2010-02-01 00:00:00	-1.1580399
2010-02-02 00:00:00	-1.6528666
2010-02-03 00:00:00	-3.480822
2010-02-04 00:00:00	-1.5852082
2010-02-05 00:00:00	-1.3590323
2010-02-06 00:00:00	-0.92642851
2010-02-07 00:00:00	-0.79859407
2010-02-08 00:00:00	-0.72049918
2010-02-09 00:00:00	-0.6606757
2010-02-10 00:00:00	-0.61939137
2010-02-11 00:00:00	-0.59056782
2010-02-12 00:00:00	-0.57584088
2010-02-13 00:00:00	-0.56317633
2010-02-14 00:00:00	-0.58074595
2010-02-15 00:00:00	-1.185577
2010-02-16 00:00:00	-2.457976
2010-02-17 00:00:00	-1.6142989
2010-02-18 00:00:00	-0.95828778
2010-02-19 00:00:00	-1.0268888
2010-02-20 00:00:00	-0.94714994
2010-02-21 00:00:00	-0.87722929
2010-02-22 00:00:00	-0.78461208
2010-02-23 00:00:00	-0.68835878
2010-02-24 00:00:00	-0.66542124
2010-02-25 00:00:00	-0.78488266
2010-02-26 00:00:00	-2.3163805
2010-02-27 00:00:00	-2.211223
2010-02-28 00:00:00	-2.8877671
2010-03-01 00:00:00	-1.2011556
2010-03-02 00:00:00	-0.85192951
2010-03-03 00:00:00	-1.3531241
2010-03-04 00:00:00	-1.1523386
2010-03-05 00:00:00	-0.82228942
2010-03-06 00:00:00	-0.73432864
2010-03-07 00:00:00	-0.68633436
2010-03-08 00:00:00	-0.62367756
2010-03-09 00:00:00	-0.58141465
2010-03-10 00:00:00	-0.55943756
2010-03-11 00:00:00	-0.54527558
2010-03-12 00:00:00	-0.57751483
2010-03-13 00:00:00	-0.58656259
2010-03-14 00:00:00	-0.55675243
2010-03-15 00:00:00	-0.54516054
2010-03-16 00:00:00	-0.53033725
2010-03-17 00:00:00	-0.54729802
2010-03-18 00:00:00	-0.74968006
2010-03-19 00:00:00	-1.0068657
2010-03-20 00:00:00	-0.64105697
2010-03-21 00:00:00	-0.6204705
2010-03-22 00:00:00	-2.0883262
2010-03-23 00:00:00	-1.3390768
2010-03-24 00:00:00	-2.651036
2010-03-25 00:00:00	-0.98557447
2010-03-26 00:00:00	-1.2992632
2010-03-27 00:00:00	-0.90522316
2010-03-28 00:00:00	-0.7104428
2010-03-29 00:00:00	-2.1490295
2010-03-30 00:00:00	-5.560921
2010-03-31 00:00:00	-2.1951888
2010-04-01 00:00:00	-1.9402936
2010-04-02 00:00:00	-1.5142809
2010-04-03 00:00:00	-3.0587559
2010-04-04 00:00:00	-3.2133447
2010-04-05 00:00:00	-13.86455
2010-04-06 00:00:00	-3.0121489
2010-04-07 00:00:00	-1.0653192
2010-04-08 00:00:00	-0.69873585
2010-04-09 00:00:00	-0.57502888
2010-04-10 00:00:00	-0.5022811
2010-04-11 00:00:00	-0.46005881
2010-04-12 00:00:00	-0.47702265
2010-04-13 00:00:00	-0.48609863
2010-04-14 00:00:00	-0.47131555
2010-04-15 00:00:00	-0.45956015
2010-04-16 00:00:00	-0.44993397
2010-04-17 00:00:00	-0.44253789
2010-04-18 00:00:00	-0.44461166
2010-04-19 00:00:00	-0.43731948
2010-04-20 00:00:00	-0.43228815
2010-04-21 00:00:00	-0.42592322
2010-04-22 00:00:00	-0.42493697
2010-04-23 00:00:00	-0.4234215
2010-04-24 00:00:00	-0.42945417
2010-04-25 00:00:00	-0.46509951
2010-04-26 00:00:00	-0.45541153
2010-04-27 00:00:00	-0.46783782
2010-04-28 00:00:00	-1.9105582
2010-04-29 00:00:00	-1.0584379
2010-04-30 00:00:00	-1.033681
2010-05-01 00:00:00	-0.73573072
2010-05-02 00:00:00	-0.6231705
