Depth_meter,Area_meterSquared
0,3931000
1,3688025
2,3445050
3,3336093.492
4,3225992.455
5,3133491.11
6,3029720
7,2912240.997
8,2788136
9,2682466
10,2562766.74
11,2425504.808
12,2296549.776
13,2173240.741
14,2055132.833
15,1941797.673
16,1830879.885
17,1713120.439
18,1577340.916
19,1464350.408
20,1359410.085
21,1262715.166
22,1171462.749
23,1092203.476
24,1011499.153
25,917001.4102
26,825064.1384
27,745660
28,648220
29,580502.631
30,526747.0123
31,474637.3604
32,408185.554
33,335719.63
34,279954.8601
35,222861.9353
36,179055.3041
37,158330.8204
38,138889.9567
39,123335.5328
40,107797.1005
41,90896.30018
42,74949.25664
43,57922.96164
44,29175.8334
45,9158.892754
46,981.4504006
46.8,4.513647009
