"",46.800
0.0000,0.0000E+000
1.0000,2.4919E+002
2.0000,2.7290E+002
3.0000,2.4594E+002
4.0000,2.5896E+002
5.0000,2.3956E+002
6.0000,2.5531E+002
7.0000,2.5655E+002
8.0000,2.4923E+002
9.0000,2.6866E+002
10.0000,2.8099E+002
11.0000,2.9794E+002
12.0000,2.8364E+002
13.0000,2.7858E+002
14.0000,3.1636E+002
15.0000,2.8413E+002
16.0000,2.8038E+002
17.0000,2.8448E+002
18.0000,3.0868E+002
19.0000,2.7780E+002
20.0000,3.1669E+002
21.0000,2.7712E+002
22.0000,2.7508E+002
23.0000,2.8813E+002
24.0000,2.9135E+002
25.0000,2.9156E+002
26.0000,3.1001E+002
27.0000,3.0547E+002
28.0000,2.8939E+002
29.0000,2.5443E+002
30.0000,2.5380E+002
31.0000,2.8602E+002
32.0000,3.0654E+002
33.0000,2.9097E+002
34.0000,3.0200E+002
35.0000,2.6874E+002
36.0000,2.7126E+002
37.0000,2.9498E+002
38.0000,2.8264E+002
39.0000,2.5231E+002
40.0000,2.3710E+002
41.0000,2.3838E+002
42.0000,2.5611E+002
43.0000,2.5185E+002
44.0000,2.6675E+002
45.0000,2.9287E+002
46.0000,2.7133E+002
47.0000,2.5655E+002
48.0000,2.5494E+002
49.0000,2.6348E+002
50.0000,2.5596E+002
51.0000,2.6363E+002
52.0000,2.4655E+002
53.0000,2.7456E+002
54.0000,2.9549E+002
55.0000,2.6644E+002
56.0000,2.7929E+002
57.0000,2.6258E+002
58.0000,2.5842E+002
59.0000,2.5483E+002
60.0000,2.7059E+002
61.0000,2.8954E+002
62.0000,2.5743E+002
63.0000,2.5116E+002
64.0000,2.6892E+002
65.0000,2.6473E+002
66.0000,2.4510E+002
67.0000,2.4890E+002
68.0000,2.5901E+002
69.0000,2.6299E+002
70.0000,2.9321E+002
71.0000,2.9470E+002
72.0000,2.7371E+002
73.0000,2.7883E+002
74.0000,3.0153E+002
75.0000,3.0870E+002
76.0000,3.2472E+002
77.0000,3.0655E+002
78.0000,2.8966E+002
79.0000,3.0077E+002
80.0000,2.8767E+002
81.0000,3.0345E+002
82.0000,2.9260E+002
83.0000,2.9805E+002
84.0000,2.8903E+002
85.0000,2.8772E+002
86.0000,2.8807E+002
87.0000,3.0646E+002
88.0000,2.9096E+002
89.0000,2.6744E+002
90.0000,2.7413E+002
91.0000,2.9861E+002
92.0000,2.8904E+002
93.0000,2.9101E+002
94.0000,3.2742E+002
95.0000,3.0080E+002
96.0000,2.8058E+002
97.0000,2.9765E+002
98.0000,2.8546E+002
99.0000,2.7994E+002
100.0000,2.8295E+002
101.0000,2.8126E+002
102.0000,2.8763E+002
103.0000,2.8912E+002
104.0000,2.8102E+002
105.0000,2.7671E+002
106.0000,2.7320E+002
107.0000,2.8803E+002
108.0000,2.8021E+002
109.0000,2.6656E+002
110.0000,2.7615E+002
111.0000,2.7798E+002
112.0000,2.9015E+002
113.0000,3.1789E+002
114.0000,3.3115E+002
115.0000,3.2611E+002
116.0000,3.3257E+002
117.0000,3.3966E+002
118.0000,3.1272E+002
119.0000,3.0999E+002
120.0000,2.9567E+002
121.0000,3.0013E+002
122.0000,2.9619E+002
123.0000,3.1445E+002
124.0000,3.3795E+002
125.0000,3.2415E+002
126.0000,2.9174E+002
127.0000,2.7186E+002
128.0000,2.9511E+002
129.0000,2.9264E+002
130.0000,2.7745E+002
131.0000,2.8519E+002
132.0000,3.1622E+002
133.0000,3.0454E+002
134.0000,3.1701E+002
135.0000,2.9445E+002
136.0000,3.0397E+002
137.0000,3.3857E+002
138.0000,3.5058E+002
139.0000,3.5233E+002
140.0000,3.4689E+002
141.0000,3.2660E+002
142.0000,3.1055E+002
143.0000,3.0127E+002
144.0000,2.8783E+002
145.0000,2.9150E+002
146.0000,2.8789E+002
147.0000,3.0919E+002
148.0000,3.2895E+002
149.0000,3.0626E+002
150.0000,3.4614E+002
151.0000,3.2636E+002
152.0000,3.1871E+002
153.0000,3.2952E+002
154.0000,3.3225E+002
155.0000,3.3459E+002
156.0000,3.3657E+002
157.0000,3.4240E+002
158.0000,3.3820E+002
159.0000,3.4075E+002
160.0000,3.1889E+002
161.0000,3.2851E+002
162.0000,3.4015E+002
163.0000,3.3250E+002
164.0000,3.2829E+002
165.0000,3.2233E+002
166.0000,3.3064E+002
167.0000,3.4323E+002
168.0000,3.2899E+002
169.0000,2.9848E+002
170.0000,3.0846E+002
171.0000,3.1430E+002
172.0000,3.4539E+002
173.0000,3.4970E+002
174.0000,3.4208E+002
175.0000,3.3835E+002
176.0000,3.3037E+002
177.0000,3.2731E+002
178.0000,3.4959E+002
179.0000,3.3139E+002
180.0000,3.4802E+002
181.0000,3.4377E+002
