"",46.800
0.0000,0.0000E+000
1.0000,-1.9784E+001
2.0000,-3.0346E+001
3.0000,-2.4701E+001
4.0000,-2.0069E+001
5.0000,-2.8567E+001
6.0000,-1.5799E+001
7.0000,-3.1269E+001
8.0000,-3.8467E+001
9.0000,-3.1019E+001
10.0000,-1.3659E+001
11.0000,-5.4643E+000
12.0000,6.1459E-001
13.0000,-2.1353E+000
14.0000,3.9840E+001
15.0000,2.0105E+001
16.0000,1.6996E+001
17.0000,1.5629E+001
18.0000,1.8336E+001
19.0000,8.1351E+000
20.0000,3.3268E+001
21.0000,6.7153E+000
22.0000,-8.0602E+000
23.0000,-4.9387E+000
24.0000,-8.9954E+000
25.0000,-1.7741E+000
26.0000,1.5528E+001
27.0000,1.6430E+001
28.0000,1.2401E+001
29.0000,-7.3452E+000
30.0000,-7.0553E+000
31.0000,2.2594E+000
32.0000,1.8550E+001
33.0000,1.0012E+001
34.0000,1.7950E+001
35.0000,9.6458E+000
36.0000,1.3469E+000
37.0000,2.5268E+000
38.0000,-1.2334E+000
39.0000,-9.2535E+000
40.0000,-1.0069E+001
41.0000,-1.0115E+001
42.0000,-4.6163E+000
43.0000,-5.0354E+000
44.0000,-2.0893E-001
45.0000,7.6927E+000
46.0000,-6.8280E-001
47.0000,-5.6309E+000
48.0000,-8.4398E+000
49.0000,-6.4064E+000
50.0000,-6.6309E+000
51.0000,-6.1483E+000
52.0000,-1.1501E+001
53.0000,-1.4101E+001
54.0000,-3.1962E+000
55.0000,-2.3977E+000
56.0000,2.2851E+000
57.0000,1.5517E+000
58.0000,6.7808E-001
59.0000,1.7188E+000
60.0000,4.7754E-001
61.0000,6.6284E+000
62.0000,-1.9076E+000
63.0000,7.1208E-001
64.0000,2.5345E+000
65.0000,2.5152E+000
66.0000,-6.3465E+000
67.0000,-1.5684E+000
68.0000,-9.9271E-001
69.0000,1.5125E+000
70.0000,1.6248E+001
71.0000,8.8451E+000
72.0000,9.1467E+000
73.0000,6.5584E+000
74.0000,2.2509E+001
75.0000,4.5025E+001
76.0000,5.7555E+001
77.0000,2.2806E+001
78.0000,1.6505E+001
79.0000,2.7168E+001
80.0000,3.1993E+001
81.0000,2.3458E+001
82.0000,1.4009E+001
83.0000,1.9638E+001
84.0000,1.1383E+001
85.0000,1.3112E+001
86.0000,5.6289E+000
87.0000,-2.3572E-001
88.0000,-1.1883E+001
89.0000,-8.1020E+000
90.0000,-5.6049E-001
91.0000,3.5563E+000
92.0000,3.7932E-001
93.0000,2.6240E+000
94.0000,5.0266E+001
95.0000,1.7010E+001
96.0000,9.4745E+000
97.0000,1.3677E+001
98.0000,1.7837E+001
99.0000,2.1848E+001
100.0000,1.2371E+001
101.0000,1.2492E+001
102.0000,1.0462E+001
103.0000,5.3163E+000
104.0000,3.7112E+000
105.0000,6.7369E-001
106.0000,-2.0470E+000
107.0000,-5.1884E+000
108.0000,-8.4864E+000
109.0000,-1.2036E+001
110.0000,-1.3707E+001
111.0000,-7.7395E+000
112.0000,-5.5828E+000
113.0000,-1.9618E+000
114.0000,1.6549E+000
115.0000,3.1820E+000
116.0000,-1.2002E-001
117.0000,1.0575E+001
118.0000,-3.1834E+000
119.0000,-2.9002E+000
120.0000,-9.9436E+000
121.0000,-1.4278E+001
122.0000,-1.2183E+001
123.0000,-9.9314E+000
124.0000,-4.6267E+000
125.0000,2.8665E+000
126.0000,-8.2201E+000
127.0000,-8.4500E+000
128.0000,-9.8257E+000
129.0000,-2.2149E+001
130.0000,-1.9953E+001
131.0000,-2.1982E+001
132.0000,-1.7141E+001
133.0000,-1.6069E+001
134.0000,-1.5230E+001
135.0000,-1.2028E+001
136.0000,-8.5780E+000
137.0000,-9.3574E+000
138.0000,5.8814E+000
139.0000,7.8732E+000
140.0000,5.5925E+000
141.0000,6.2646E+000
142.0000,3.1459E-001
143.0000,-1.1089E+001
144.0000,-2.6362E+001
145.0000,-3.9557E+001
146.0000,-4.0161E+001
147.0000,-2.3673E+001
148.0000,-2.3362E+001
149.0000,-1.4027E+001
150.0000,-1.5044E+001
151.0000,-1.3399E+001
152.0000,-9.6138E+000
153.0000,-1.0341E+001
154.0000,-1.1650E+001
155.0000,-1.4474E+001
156.0000,-2.0566E+001
157.0000,-2.7028E+001
158.0000,-2.2210E+001
159.0000,-2.1263E+001
160.0000,-1.2896E+001
161.0000,-2.1569E+001
162.0000,-1.7998E+001
163.0000,-3.0881E+001
164.0000,-1.6977E+001
165.0000,-1.0464E+001
166.0000,-1.2136E+001
167.0000,-1.1844E+001
168.0000,-1.8606E+001
169.0000,-2.9533E+001
170.0000,-2.2506E+001
171.0000,-2.0114E+001
172.0000,-2.4810E+001
173.0000,-2.2928E+001
174.0000,-1.6830E+001
175.0000,-1.7257E+001
176.0000,-2.3050E+001
177.0000,-2.7755E+001
178.0000,-1.8119E+001
