"",46.800
0.0000,0.0000E+000
1.0000,-2.4404E+001
2.0000,-3.6170E+001
3.0000,-2.7628E+001
4.0000,-2.6803E+001
5.0000,-4.1916E+001
6.0000,-2.1252E+001
7.0000,-2.6953E+001
8.0000,-3.1549E+001
9.0000,-3.2656E+001
10.0000,-1.9705E+001
11.0000,-2.4687E+001
12.0000,-4.8616E+000
13.0000,-7.5460E+000
14.0000,2.9986E+001
15.0000,5.0032E+000
16.0000,-5.8767E-001
17.0000,8.4513E+000
18.0000,5.8021E+000
19.0000,1.9057E+000
20.0000,2.2727E+001
21.0000,-2.8778E-001
22.0000,-7.9202E+000
23.0000,-6.2801E+000
24.0000,-9.9483E+000
25.0000,-6.8636E+000
26.0000,8.7498E+000
27.0000,3.3192E+000
28.0000,-4.6891E+000
29.0000,-1.4604E+001
30.0000,-1.5095E+001
31.0000,-8.0846E+000
32.0000,9.9553E+000
33.0000,3.1111E+000
34.0000,8.6992E+000
35.0000,-3.4801E+000
36.0000,-2.7784E+000
37.0000,-7.1158E+000
38.0000,-1.6825E+001
39.0000,-2.2769E+001
40.0000,-1.9083E+001
41.0000,-1.6591E+001
42.0000,-1.2094E+001
43.0000,-1.2043E+001
44.0000,-6.8524E+000
45.0000,1.5839E-001
46.0000,-8.2926E+000
47.0000,-1.3711E+001
48.0000,-1.3150E+001
49.0000,-1.2609E+001
50.0000,-1.2749E+001
51.0000,-1.1221E+001
52.0000,-1.8082E+001
53.0000,-2.4687E+001
54.0000,-8.2396E+000
55.0000,-9.8366E+000
56.0000,-1.0703E+001
57.0000,-6.8766E+000
58.0000,-1.0161E+001
59.0000,-5.6805E+000
60.0000,-1.2931E+001
61.0000,-8.9947E-001
62.0000,-9.3619E+000
63.0000,-6.4182E+000
64.0000,-7.0502E+000
65.0000,-1.3913E+001
66.0000,-2.4475E+001
67.0000,-1.6487E+001
68.0000,-1.1831E+001
69.0000,-1.0024E+001
70.0000,3.2688E+000
71.0000,-1.5827E+000
72.0000,-2.9572E+000
73.0000,-5.0424E+000
74.0000,-1.0096E+001
75.0000,2.7424E+001
76.0000,3.7006E+001
77.0000,-4.7532E-001
78.0000,-6.0668E+000
79.0000,2.1247E+000
80.0000,-4.7509E+000
81.0000,1.0024E+000
82.0000,1.3662E+000
83.0000,4.5133E+000
84.0000,1.3033E+000
85.0000,-3.0721E+000
86.0000,-6.1780E+000
87.0000,-8.2904E+000
88.0000,-2.6788E+001
89.0000,-4.1735E+001
90.0000,-1.5837E+001
91.0000,-5.8011E+000
92.0000,-1.3453E+001
93.0000,-2.0361E+001
94.0000,3.3136E+001
95.0000,7.4350E+000
96.0000,-9.4981E+000
97.0000,-3.0763E+000
98.0000,-6.9623E+000
99.0000,-9.0535E+000
100.0000,-2.2494E+000
101.0000,-6.5028E+000
102.0000,-6.5354E+000
103.0000,-1.8044E+001
104.0000,-2.0730E+001
105.0000,-1.3077E+001
106.0000,-1.5427E+001
107.0000,-2.3981E+001
108.0000,-3.1665E+001
109.0000,-4.0570E+001
110.0000,-4.3389E+001
111.0000,-3.1425E+001
112.0000,-3.6407E+001
113.0000,-2.6401E+001
114.0000,-9.7640E+000
115.0000,-1.7609E+001
116.0000,-2.6518E+001
117.0000,-8.2507E+000
118.0000,-2.3384E+001
119.0000,-1.9154E+001
120.0000,-2.3828E+001
121.0000,-4.6183E+001
122.0000,-5.6490E+001
123.0000,-4.2103E+001
124.0000,-2.0826E+001
125.0000,-2.2341E+001
126.0000,-4.8796E+001
127.0000,-5.7568E+001
128.0000,-4.4514E+001
129.0000,-6.8439E+001
130.0000,-5.3980E+001
131.0000,-5.2190E+001
132.0000,-4.3310E+001
133.0000,-4.9202E+001
134.0000,-5.0042E+001
135.0000,-4.7758E+001
136.0000,-3.4398E+001
137.0000,-2.1148E+001
138.0000,-3.6158E+000
139.0000,-2.1780E+000
140.0000,-4.4780E+000
141.0000,-1.3716E+001
142.0000,-2.2401E+001
143.0000,-5.5295E+001
144.0000,-9.4052E+001
145.0000,-1.1505E+002
146.0000,-9.3918E+001
147.0000,-6.5588E+001
148.0000,-5.8003E+001
149.0000,-4.7574E+001
150.0000,-5.1350E+001
151.0000,-4.8086E+001
152.0000,-4.0761E+001
153.0000,-7.8261E+001
154.0000,-6.1441E+001
155.0000,-4.4153E+001
156.0000,-5.8394E+001
157.0000,-6.2450E+001
158.0000,-5.7362E+001
159.0000,-6.3449E+001
160.0000,-7.4648E+001
161.0000,-6.8238E+001
162.0000,-6.1909E+001
163.0000,-7.5728E+001
164.0000,-6.9647E+001
165.0000,-4.6589E+001
166.0000,-4.6242E+001
167.0000,-4.9559E+001
168.0000,-6.3051E+001
169.0000,-1.0896E+002
170.0000,-7.6919E+001
171.0000,-7.1010E+001
172.0000,-8.7752E+001
173.0000,-7.4020E+001
174.0000,-5.9725E+001
175.0000,-6.5256E+001
176.0000,-9.3162E+001
177.0000,-1.0688E+002
178.0000,-4.5109E+001
179.0000,-4.3440E+001
180.0000,-7.0897E+001
181.0000,-8.6942E+001
182.0000,-9.0908E+001
183.0000,-8.5604E+001
184.0000,-7.5514E+001
185.0000,-6.8770E+001
186.0000,-4.8836E+001
187.0000,-6.4287E+001
188.0000,-4.3493E+001
189.0000,-1.6261E+001
190.0000,-1.2448E+001
191.0000,-5.5649E+001
192.0000,-2.5100E+001
193.0000,-3.3093E+001
194.0000,-1.5782E+001
195.0000,-2.7472E+001
196.0000,-6.1277E+001
197.0000,-6.3059E+001
198.0000,-1.0877E+001
199.0000,-2.0226E+001
200.0000,-2.9817E+001
201.0000,-4.5095E+001
202.0000,-7.6280E+001
203.0000,-4.5913E+001
204.0000,-2.7943E+001
205.0000,-2.6125E+001
206.0000,-2.8765E+001
207.0000,-5.0737E+001
208.0000,-6.8646E+001
209.0000,-4.4143E+001
210.0000,-4.4825E+001
211.0000,-7.2393E+001
212.0000,-5.2652E+001
213.0000,-5.5698E+001
214.0000,-5.9321E+001
215.0000,-8.1514E+001
216.0000,-6.7522E+001
217.0000,-5.6196E+001
218.0000,-6.0668E+001
219.0000,-5.5144E+001
220.0000,-5.5704E+001
221.0000,-7.3557E+001
222.0000,-5.4620E+001
223.0000,-6.8494E+001
224.0000,-6.9093E+001
225.0000,-4.2077E+001
226.0000,-2.7994E+001
227.0000,-3.8916E+001
228.0000,-6.4195E+001
229.0000,-7.1223E+001
230.0000,-4.7561E+001
231.0000,-4.9982E+001
232.0000,-5.7245E+001
233.0000,-4.3222E+001
234.0000,-7.2873E+001
235.0000,-8.2179E+001
236.0000,-4.2557E+001
237.0000,-4.9745E+001
238.0000,-5.9376E+001
239.0000,-6.8055E+001
240.0000,-7.7443E+001
241.0000,-5.2625E+001
242.0000,-5.3634E+001
243.0000,-4.3204E+001
244.0000,-4.8056E+001
245.0000,-4.5474E+001
246.0000,-2.0851E+001
247.0000,-4.4740E+001
248.0000,-2.1898E+001
249.0000,-4.5092E+001
250.0000,-2.2279E+001
251.0000,-1.3005E+000
252.0000,1.6626E+000
253.0000,-2.5222E+001
254.0000,-3.9345E+001
255.0000,-5.6101E+000
256.0000,-4.6274E+001
257.0000,-6.0872E+001
258.0000,-3.8319E+001
259.0000,-3.8858E+001
260.0000,-3.3732E+001
261.0000,-5.4282E+000
262.0000,-8.2748E+000
263.0000,-3.1000E+000
264.0000,2.2763E+000
265.0000,-2.3454E+001
266.0000,-5.5644E+001
267.0000,-3.5372E+001
268.0000,-3.7056E+001
269.0000,-3.9998E+001
270.0000,-1.4062E+001
271.0000,-2.0374E+001
272.0000,-2.2345E+001
273.0000,-4.2203E+001
274.0000,-4.1780E+001
275.0000,-2.5394E+001
276.0000,-3.7146E+001
277.0000,-5.3439E+001
278.0000,-4.2737E+001
279.0000,-3.7059E+001
280.0000,1.3749E+001
281.0000,8.9926E+000
282.0000,-1.2371E+001
283.0000,-1.3743E+001
284.0000,-2.3203E+001
285.0000,-2.1845E+001
286.0000,-2.6335E+001
287.0000,-2.4314E+001
288.0000,-2.7302E+001
289.0000,-3.2386E+001
290.0000,-3.5529E+001
291.0000,-5.2388E+001
292.0000,-4.7615E+001
293.0000,-3.6047E+001
294.0000,-3.9455E+001
295.0000,-4.1387E+001
296.0000,-4.3351E+001
297.0000,-7.2123E+001
298.0000,1.4957E+001
299.0000,-3.4398E+001
300.0000,-2.1307E+001
301.0000,-2.5464E+001
302.0000,-2.7895E+001
303.0000,-3.1270E+001
304.0000,-2.4087E+001
305.0000,-1.9059E+001
306.0000,-8.2749E+000
307.0000,2.7834E+001
308.0000,-1.6694E+001
309.0000,-2.1739E+001
310.0000,-4.2668E+001
311.0000,-2.2791E+001
312.0000,-4.5612E+001
313.0000,-3.3273E+001
314.0000,-4.8596E+001
315.0000,-3.9601E+001
316.0000,-3.3296E+001
317.0000,-2.6881E+001
318.0000,-3.1231E+001
319.0000,-3.9835E+001
320.0000,-2.1716E+001
321.0000,-1.6030E+001
322.0000,-1.5355E+001
323.0000,-1.4911E+001
324.0000,-3.0087E+001
325.0000,-2.9430E+001
326.0000,-2.4716E+001
327.0000,-2.8056E+001
328.0000,-4.2683E+001
329.0000,-4.1574E+001
330.0000,-5.0857E+001
331.0000,-4.3040E+001
332.0000,-4.9723E+001
333.0000,-5.5376E+001
334.0000,-3.6453E+001
335.0000,-3.0454E+001
336.0000,-1.2683E+001
337.0000,-5.2672E+000
338.0000,-1.0919E+001
339.0000,-1.0555E+001
340.0000,-2.0670E+001
341.0000,-1.6388E+001
342.0000,-1.7199E+000
343.0000,9.3315E+000
344.0000,4.6797E+000
345.0000,1.3250E+000
346.0000,-1.6828E+000
347.0000,-4.8877E+000
