"",46.800
0.0000,0.0000E+000
1.0000,-3.2713E+002
2.0000,-3.2737E+002
3.0000,-3.2674E+002
4.0000,-3.2617E+002
5.0000,-3.2545E+002
6.0000,-3.2482E+002
7.0000,-3.2381E+002
8.0000,-3.2293E+002
9.0000,-3.2229E+002
10.0000,-3.2209E+002
11.0000,-3.2208E+002
12.0000,-3.2186E+002
13.0000,-3.2163E+002
14.0000,-3.2193E+002
15.0000,-3.2200E+002
16.0000,-3.2186E+002
17.0000,-3.2186E+002
18.0000,-3.2199E+002
19.0000,-3.2202E+002
20.0000,-3.2273E+002
21.0000,-3.2223E+002
22.0000,-3.2179E+002
23.0000,-3.2158E+002
24.0000,-3.2142E+002
25.0000,-3.2138E+002
26.0000,-3.2160E+002
27.0000,-3.2181E+002
28.0000,-3.2181E+002
29.0000,-3.2131E+002
30.0000,-3.2087E+002
31.0000,-3.2075E+002
32.0000,-3.2101E+002
33.0000,-3.2113E+002
34.0000,-3.2116E+002
35.0000,-3.2111E+002
36.0000,-3.2099E+002
37.0000,-3.2099E+002
38.0000,-3.2091E+002
39.0000,-3.2053E+002
40.0000,-3.2002E+002
41.0000,-3.1956E+002
42.0000,-3.1937E+002
43.0000,-3.1918E+002
44.0000,-3.1911E+002
45.0000,-3.1934E+002
46.0000,-3.1939E+002
47.0000,-3.1909E+002
48.0000,-3.1879E+002
49.0000,-3.1864E+002
50.0000,-3.1841E+002
51.0000,-3.1825E+002
52.0000,-3.1804E+002
53.0000,-3.1785E+002
54.0000,-3.1784E+002
55.0000,-3.1792E+002
56.0000,-3.1799E+002
57.0000,-3.1799E+002
58.0000,-3.1795E+002
59.0000,-3.1792E+002
60.0000,-3.1793E+002
61.0000,-3.1804E+002
62.0000,-3.1811E+002
63.0000,-3.1821E+002
64.0000,-3.1836E+002
65.0000,-3.1848E+002
66.0000,-3.1842E+002
67.0000,-3.1842E+002
68.0000,-3.1856E+002
69.0000,-3.1876E+002
70.0000,-3.1929E+002
71.0000,-3.1963E+002
72.0000,-3.2004E+002
73.0000,-3.1998E+002
74.0000,-3.2027E+002
75.0000,-3.2085E+002
76.0000,-3.2157E+002
77.0000,-3.2212E+002
78.0000,-3.2264E+002
79.0000,-3.2325E+002
80.0000,-3.2383E+002
81.0000,-3.2420E+002
82.0000,-3.2485E+002
83.0000,-3.2518E+002
84.0000,-3.2563E+002
85.0000,-3.2604E+002
86.0000,-3.2641E+002
87.0000,-3.2630E+002
88.0000,-3.2613E+002
89.0000,-3.2602E+002
90.0000,-3.2619E+002
91.0000,-3.2638E+002
92.0000,-3.2663E+002
93.0000,-3.2684E+002
94.0000,-3.2735E+002
95.0000,-3.2785E+002
96.0000,-3.2832E+002
97.0000,-3.2915E+002
98.0000,-3.3013E+002
99.0000,-3.3140E+002
100.0000,-3.3335E+002
101.0000,-3.3571E+002
102.0000,-3.3823E+002
103.0000,-3.4039E+002
104.0000,-3.4257E+002
105.0000,-3.4548E+002
106.0000,-3.4892E+002
107.0000,-3.5090E+002
108.0000,-3.5151E+002
109.0000,-3.5203E+002
110.0000,-3.5235E+002
111.0000,-3.5341E+002
112.0000,-3.5489E+002
113.0000,-3.5501E+002
114.0000,-3.5511E+002
115.0000,-3.5628E+002
116.0000,-3.5539E+002
117.0000,-3.5298E+002
118.0000,-3.5203E+002
119.0000,-3.5261E+002
120.0000,-3.5345E+002
121.0000,-3.5319E+002
122.0000,-3.5265E+002
123.0000,-3.5308E+002
124.0000,-3.5297E+002
125.0000,-3.5289E+002
126.0000,-3.5341E+002
127.0000,-3.5412E+002
128.0000,-3.5524E+002
129.0000,-3.5564E+002
130.0000,-3.5581E+002
131.0000,-3.5679E+002
132.0000,-3.5683E+002
133.0000,-3.5659E+002
134.0000,-3.5697E+002
135.0000,-3.5792E+002
136.0000,-3.5964E+002
137.0000,-3.5936E+002
138.0000,-3.5935E+002
139.0000,-3.6245E+002
140.0000,-3.6717E+002
141.0000,-3.7380E+002
142.0000,-3.8082E+002
143.0000,-3.8602E+002
144.0000,-3.8689E+002
145.0000,-3.8434E+002
146.0000,-3.8088E+002
147.0000,-3.7931E+002
148.0000,-3.7807E+002
149.0000,-3.7798E+002
150.0000,-3.7911E+002
151.0000,-3.8046E+002
152.0000,-3.8443E+002
153.0000,-3.8689E+002
154.0000,-3.8732E+002
155.0000,-3.8978E+002
156.0000,-3.9182E+002
157.0000,-3.8987E+002
158.0000,-3.8650E+002
159.0000,-3.8437E+002
160.0000,-3.8397E+002
161.0000,-3.8415E+002
162.0000,-3.8458E+002
163.0000,-3.8439E+002
164.0000,-3.8333E+002
165.0000,-3.8601E+002
166.0000,-3.9154E+002
167.0000,-3.9559E+002
168.0000,-3.9569E+002
169.0000,-3.9481E+002
170.0000,-3.9660E+002
171.0000,-3.9942E+002
172.0000,-3.9992E+002
173.0000,-3.9792E+002
174.0000,-3.9750E+002
175.0000,-3.9840E+002
176.0000,-3.9838E+002
177.0000,-3.9663E+002
178.0000,-3.9415E+002
179.0000,-3.9516E+002
180.0000,-3.9617E+002
181.0000,-3.9473E+002
182.0000,-3.9114E+002
183.0000,-3.8778E+002
184.0000,-3.8633E+002
185.0000,-3.8334E+002
186.0000,-3.8073E+002
187.0000,-3.7962E+002
188.0000,-3.7854E+002
189.0000,-3.7829E+002
190.0000,-3.7873E+002
191.0000,-3.7890E+002
192.0000,-3.8047E+002
193.0000,-3.8181E+002
194.0000,-3.8373E+002
195.0000,-3.8452E+002
196.0000,-3.8162E+002
197.0000,-3.7976E+002
198.0000,-3.8032E+002
199.0000,-3.8187E+002
200.0000,-3.8374E+002
201.0000,-3.8413E+002
202.0000,-3.8355E+002
203.0000,-3.8389E+002
204.0000,-3.8549E+002
205.0000,-3.8745E+002
206.0000,-3.9003E+002
207.0000,-3.9163E+002
208.0000,-3.9201E+002
209.0000,-3.9361E+002
210.0000,-3.9459E+002
211.0000,-3.9304E+002
212.0000,-3.9204E+002
213.0000,-3.9159E+002
214.0000,-3.9083E+002
215.0000,-3.8998E+002
216.0000,-3.8876E+002
217.0000,-3.8742E+002
218.0000,-3.8648E+002
219.0000,-3.8659E+002
220.0000,-3.8679E+002
221.0000,-3.8652E+002
222.0000,-3.8568E+002
223.0000,-3.8519E+002
224.0000,-3.8507E+002
