"",46.800
0.0000,0.0000E+000
1.0000,1.4092E+001
2.0000,1.2708E+001
3.0000,1.7264E+001
4.0000,1.7171E+001
5.0000,1.7596E+001
6.0000,1.4293E+001
7.0000,1.5031E+001
8.0000,1.5201E+001
9.0000,7.9377E+000
10.0000,1.2154E+001
11.0000,1.9290E+000
12.0000,1.4097E+001
13.0000,1.4485E+001
14.0000,6.5390E+000
15.0000,1.6550E+001
16.0000,1.5115E+001
17.0000,1.6054E+001
18.0000,7.8497E+000
19.0000,2.2214E+001
20.0000,2.4181E+000
21.0000,2.2339E+001
22.0000,1.9289E+001
23.0000,1.4571E+001
24.0000,1.5637E+001
25.0000,1.9862E+001
26.0000,1.0123E+001
27.0000,1.4976E+001
28.0000,1.8620E+001
29.0000,2.4504E+001
30.0000,2.5325E+001
31.0000,1.4411E+001
32.0000,1.3607E+001
33.0000,1.4169E+001
34.0000,5.1028E+000
35.0000,2.7683E+001
36.0000,2.7264E+001
37.0000,1.8690E+001
38.0000,2.7040E+001
39.0000,3.0792E+001
40.0000,3.7084E+001
41.0000,3.8820E+001
42.0000,3.4642E+001
43.0000,3.4237E+001
44.0000,3.1619E+001
45.0000,2.2769E+001
46.0000,3.3231E+001
47.0000,2.9654E+001
48.0000,3.8339E+001
49.0000,3.3686E+001
50.0000,3.5671E+001
51.0000,3.7550E+001
52.0000,4.6918E+001
53.0000,2.2899E+001
54.0000,1.7705E+001
55.0000,4.7368E+001
56.0000,3.4046E+001
57.0000,4.4944E+001
58.0000,4.6177E+001
59.0000,5.0833E+001
60.0000,4.0120E+001
61.0000,2.7576E+001
62.0000,5.8746E+001
63.0000,6.2151E+001
64.0000,5.4369E+001
65.0000,5.8575E+001
66.0000,6.6579E+001
67.0000,6.7558E+001
68.0000,6.5394E+001
69.0000,6.6850E+001
70.0000,5.3528E+001
71.0000,4.4991E+001
72.0000,6.1073E+001
73.0000,5.8829E+001
74.0000,4.2562E+001
75.0000,4.1729E+001
76.0000,1.7524E+001
77.0000,4.4377E+001
78.0000,7.8503E+001
79.0000,6.7596E+001
80.0000,7.5255E+001
81.0000,2.7962E+001
82.0000,6.6705E+001
83.0000,4.8285E+001
84.0000,6.5199E+001
85.0000,6.5339E+001
86.0000,6.4751E+001
87.0000,1.0584E+001
88.0000,4.7095E+001
89.0000,8.1832E+001
90.0000,7.8748E+001
91.0000,3.7407E+001
92.0000,7.2050E+001
93.0000,6.6161E+001
94.0000,4.3484E+001
95.0000,7.7069E+001
96.0000,9.9701E+001
97.0000,8.8827E+001
98.0000,1.1731E+002
99.0000,1.3048E+002
100.0000,1.3327E+002
101.0000,1.3761E+002
102.0000,1.3927E+002
103.0000,1.2073E+002
104.0000,1.3982E+002
105.0000,1.4806E+002
106.0000,1.4608E+002
107.0000,1.0871E+002
108.0000,1.1498E+002
109.0000,1.3801E+002
110.0000,1.1998E+002
111.0000,1.3491E+002
112.0000,1.2055E+002
113.0000,7.8660E+001
114.0000,8.7634E+001
115.0000,9.9988E+001
116.0000,5.4366E+001
117.0000,8.0105E+001
118.0000,9.4396E+001
119.0000,1.0316E+002
120.0000,9.7136E+001
121.0000,9.9647E+001
122.0000,1.3358E+002
123.0000,9.6380E+001
124.0000,4.2064E+001
125.0000,9.9763E+001
126.0000,1.3517E+002
127.0000,1.6349E+002
128.0000,1.2783E+002
129.0000,1.3292E+002
130.0000,1.4448E+002
131.0000,1.3960E+002
132.0000,6.7636E+001
133.0000,1.2012E+002
134.0000,1.1472E+002
135.0000,1.4623E+002
136.0000,1.2261E+002
137.0000,2.0886E+001
138.0000,9.3464E+001
139.0000,1.0599E+002
140.0000,1.2070E+002
141.0000,1.6198E+002
142.0000,1.8758E+002
143.0000,1.8634E+002
144.0000,1.9283E+002
145.0000,1.7168E+002
146.0000,1.4210E+002
147.0000,1.2060E+002
148.0000,7.1517E+001
149.0000,1.3884E+002
150.0000,9.4843E+001
151.0000,1.5305E+002
152.0000,1.7785E+002
153.0000,1.4643E+002
154.0000,1.4664E+002
155.0000,1.4205E+002
156.0000,1.2531E+002
157.0000,3.0261E+001
158.0000,7.5323E+001
159.0000,7.8212E+001
160.0000,1.7082E+002
